City,Lat,Lon,Mean Household Income,Median Household Income,Stdev Household Income ,Number of Households
Canonsburg,40.2633632,-80.18822295,121261,96709,97524,2068.409038
Canton,41.6477801,-76.8256484,49893,42364,39899,1036.018028
Carbondale,41.5779377,-75.4931032,44694,33054,33440,376.2930208
Carlisle,40.1763195,-77.2249193,245085,211412,171024,1756.821216
Carmichaels,39.8895572,-79.9933451,38945,25001,38674,331.0254426
Carnegie,40.407968,-80.08602,55601,40791,54042,2458.312727
Catasauqua,40.6545504,-75.46918816,275942,216127,208110,4658.120015
Centre Hall,40.8358367,-77.6497285,124699,98220,94402,650.9127915
Chalfont,40.267247,-75.214396,98509,88863,66649,626.3596457
Chambersburg,39.9398371,-77.65982815,204802,151966,170805,1382.875353
Charleroi,40.11784165,-79.9197531,116877,109670,80619,750.4270652
Cheltenham,40.0552168,-75.1120763,224410,196523,124440,417.1968022
Chester,39.84965407,-75.36718607,99560,75996,84717,898.2965078
Chester Springs,40.10625845,-75.67638245,308312,313745,158290,707.1970057
Cheswick,40.5430237,-79.8009841,66875,55222,48399,495.0793732
Chinchilla,41.4769614,-75.6929904,94577,81891,73230,318.9841148
Christiana,39.9325629,-76.0397505,62475,50377,44516,265.2886553
Clairton,40.2879979,-79.893836,38009,37345,28357,244.3243043
Clarion,41.2094447,-79.3800868,61018,300000,33050,232.1568872
Clarks Summit,41.4282119,-75.7695784,78766,68534,55422,800.1922469
Claysburg,40.3127193,-78.5081492,97767,79321,74074,1506.902663
Claysville,40.1475313,-80.4168315,56177,43941,47367,220.7250652
Clearfield,41.0084687,-78.40812103,160516,139307,116348,3771.115298
Cleona,40.3385308,-76.4770171,63124,59253,30451,204.7211909
Clifton Heights,39.9187191,-75.3185526,99849,98973,64252,124.3564821
Clymer,40.593277,-78.97332985,113633,93557,87607,1375.279471
Coal Center,40.074612,-79.891797,53517,51412,38876,146.7600039
Coal Township,40.7848099,-76.56213853,180334,138518,142154,1483.449486
Coatesville,39.98989466,-75.84074426,357558,300775,262413,2404.750931
Cochranton,41.5387987,-80.0607692,63352,54180,49165,242.4245324
Collegeville,40.1645353,-75.4403996,123211,112111,72593,631.4524577
Collingdale,39.918096,-75.2752047,60061,48998,37466,659.8737027
Columbia,40.0506389,-76.4908887,61482,51135,51607,562.5729004
Colwyn,39.9118095,-75.2530769,47820,44936,35067,228.1521606
Commodore,40.6888051,-78.9013573,49683,38259,35374,1053.564907
Conestoga,39.9347956,-76.3605823,78895,65387,51568,229.252747
Conneaut Lake,41.6295667,-80.31936213,198905,398282,166698,1425.375149
Connellsville,40.02393087,-79.55744267,147793,110967,124084,1556.781056
Conshohocken,40.07241705,-75.31249315,203529,178598,140474,1147.760685
Coopersburg,40.5015308,-75.4119896,237698,600000,154814,686.1525327
Coplay,40.6954531,-75.5472243,68031,61394,53958,366.949344
Coraopolis,40.50502127,-80.14310473,219545,178369,154466,1545.476632
Cornwall,40.24875,-76.466429,64441,58205,46776,60.82814083
Cranberry Twp,40.6784915,-80.1200434,209124,192197,114422,764.8048977
Cresson,40.4511867,-78.5867843,106906,91440,88089,1543.974205
Croydon,40.0916082,-74.89501675,159840,373234,109849,425.2759461
Dallas,41.34631423,-75.95341853,339951,486540,232965,1692.703116
Dallastown,39.901894,-76.6399689,50723,300000,31534,401.793325
Dalmatia,40.71122685,-76.91314525,114732,103844,75360,465.6118461
Damascus,41.703684,-75.130492,91639,80019,60781,108.4907032
Darby,39.920953,-75.261082,40831,33344,33549,2316.328878
Darlington,40.813337,-80.32944,41729,300000,29628,39.19904126
Davidsville,40.2220349,-78.96250865,93666,79540,65479,902.6406229
Defiance,40.159907,-78.231776,49891,58172,26823,42.12951186
Delta,39.7469485,-76.3254427,69784,64351,46182,518.0368883
Denver,40.2565512,-76.1425215,237563,435714,141754,1963.191604
Derry,40.4032288,-79.3482275,117302,98597,85161,2095.167002
Dillsburg,40.0703728,-77.0694506,68374,63508,48434,286.6529206
Dingmans Ferry,41.2561972,-75.02625195,290251,259065,200728,1776.543153
Douglassville,40.269351,-75.730789,89802,71723,63924,548.9383723
Dover,40.0014228,-76.8718004,84590,72047,55785,218.2848681
Downingtown,40.00660586,-75.72383086,499037,851934,302001,4351.707007
Doylestown,40.34074513,-75.1265192,374922,343587,234052,1104.307865
Dresher,40.1245528,-75.1629773,199585,168533,134377,585.5988409
Drexel Hill,39.9463398,-75.29918405,270014,208249,191470,1836.450178
Drums,41.0379841,-75.9743749,78768,300000,43293,363.3479228
Dubois,41.12512825,-78.69867485,90896,82854,60419,749.9375765
Dunbar,39.9962371,-79.653148,48083,40759,37167,508.3745509
Duncannon,40.39016425,-77.0410108,134847,116751,89533,1519.595708
Duncansville,40.393325,-78.435719,43819,30371,36929,92.69741944
Dunmore,41.4285886,-75.6148399,65504,48525,53355,254.3258721
Dupont,41.3380804,-75.7423055,52377,40980,42640,138.4612007
Duquesne,40.36746915,-79.8453314,72625,47448,67370,706.2031666
Eagleville,40.1557145,-75.4110758,100679,83047,69041,655.2879452
East Earl,40.1265407,-76.0317263,65978,62628,40827,294.5195384
East Millsboro,39.9641704,-79.9544582,167466,137491,126168,1716.007885
East Petersburg,40.104173,-76.3800362,80695,300000,58382,218.7253845
East Prospect,39.9618296,-76.5163743,80131,61965,67702,476.1157598
East Smithfield,39.7708384,-79.852849,50104,40172,41972,1428.333333
East Stroudsburg,41.0110707,-75.1800197,74318,55746,66630,298.2541878
Easton,40.68914401,-75.23169026,655814,773079,472858,11849.65274
Ebensburg,40.4939873,-78.7408876,72095,65467,52855,292.6194864
Eddystone,39.8548485,-75.3371072,110555,102569,73281,659.0997227
Edinboro,41.874979,-80.1242456,36183,20499,31927,377.2315413
Eighty Four,40.177698,-80.130298,64489,300000,54542,193.6946492
Elderton,40.6867498,-79.3666624,52800,45744,38524,531.3803782
Elizabeth,40.2677954,-79.8170496,75061,69010,47445,596.0348808
Elizabethtown,40.18214243,-76.5803817,204813,172908,144340,2149.194159
Elizabethville,40.5604425,-76.8108625,48161,34525,41915,301.9251553
Elkins Park,40.0645417,-75.1311842,131911,131032,73704,76.16016336
Elkland,41.9518993,-77.3095895,44884,36073,39772,254.658227
Ellwood City,40.85743252,-80.26937392,294552,464171,232755,2246.276995
Emmaus,40.5306523,-75.4955013,52656,32421,54530,467.6425988
Emporium,41.4891174,-78.21413667,165740,383973,143546,1065.726466
Enola,40.3049582,-76.9493791,107271,101950,57270,291.8091121
Ephrata,40.1859301,-76.19515237,165884,136843,126473,1682.672001
Erie,42.10896583,-80.05881649,988491,1513361,785631,39359.43265
Essington,39.86400615,-75.2966191,120571,94941,90929,892.8383577
Etters,40.1513351,-76.7714589,151735,365796,90108,270.7537184
Evans City,40.7795765,-80.0264125,83503,77886,51675,234.5876283
Everett,39.9935116,-78.3540296,33545,25660,29034,483.9576873
Export,40.462104,-79.518421,46702,300000,36100,158.7317514
Exton,40.03050165,-75.63069455,209908,170819,139038,1242.61884
Factoryville,41.6026937,-75.8090866,108033,85487,83327,1271.749978
Fairfield,39.7961776,-77.4071402,61948,53239,48023,394.9492056
Fairless Hills,40.18147115,-74.8426271,152110,139841,92144,934.7108541
Fairview,42.0501459,-80.1677744,240421,415909,126356,694.5732447
Farmington,39.864067,-79.494688,44099,300000,17532,11.49944994
Farrell,41.19927383,-80.480166,98854,65057,96890,1059.935647
Fayetteville,39.9336685,-77.5296328,70567,59617,47368,1734.510898
Feasterville,40.1523976,-74.9865505,139924,120644,88889,1783.955908
Feasterville Trevose,40.1426191,-75.0077058,110665,96196,65193,147.0871825
Fenelton,40.8492563,-79.6498734,66306,56332,48685,246.6202277
Finleyville,40.2248951,-80.0277827,72053,62604,50174,407.9834398
Fleetwood,40.456503,-75.821579,72765,64587,48105,874.2638427
Flinton,40.72064285,-78.50110625,86383,60743,73063,433.4821006
Ford City,40.7635685,-79.52075555,225068,190742,172460,2020.081548
Forest City,41.713044,-75.483167,58289,50510,47289,80.16302317
Fort Washington,40.15217845,-75.21088195,205022,184181,141495,540.1947297
Forty Fort,41.2975227,-75.8798605,55708,56328,32647,176.4888982
Foxburg,41.19719967,-79.74951737,167947,385646,141673,398.9525923
Frackville,40.783315,-76.2329308,37247,32020,26300,269.1220939
Franklin,41.37579664,-79.8544843,271834,236370,194752,1520.749221
Fredericksburg,40.4398532,-76.4479605,137640,121833,87737,1802.676278
Fredericktown,39.9977752,-80.0211954,52749,45253,40251,593.0357029
Freedom,40.6594326,-80.18543465,183137,398770,92718,598.1206205
Freeport,40.68619515,-79.6825656,100800,85546,69296,1030.629168
Furlong,40.2898071,-75.1073136,128209,123189,76671,531.0955765
Galeton,41.6244746,-77.7121951,45355,35497,35940,162.125672
Gallitzin,40.5191335,-78.544797,105720,87386,77863,122.2627731
Gettysburg,39.81256173,-77.19136723,282299,228414,226079,1568.080391
Gibsonia,40.63846475,-79.95712805,188910,162191,135748,1192.863174
Gilbertsville,40.3062466,-75.6239181,91534,300000,54879,301.783825
Girard,41.9980714,-80.32798355,111094,93326,77826,1511.693993
Gladwyne,40.0465676,-75.2839372,178869,300000,77722,80.29310791
Glen Mills,39.8828835,-75.4965605,119533,300000,70075,187.7858203
Glen Rock,39.75839575,-76.70005588,320240,715318,220727,2195.587545
Glenolden,39.9028947,-75.2927403,225945,207248,142803,800.6586222
Glenshaw,40.5219202,-79.9598921,146025,125323,105300,1250.092652
Glenside,40.1224131,-75.1494144,82030,71839,49929,543.4011051
Glenville,39.7583584,-76.867177,88470,79511,55467,343.2453563
Grampian,40.9724006,-78.5972036,54315,43153,45096,376.6542353
Grantville,40.3905105,-76.6821673,55012,42438,34679,464.1531016
Green Lane,40.3550606,-75.4520033,95675,89837,52192,210.0528857
Greencastle,39.7835061,-77.7628704,62842,60498,37141,354.5178134
Greensburg,40.29014632,-79.5524798,304396,494216,255085,2398.385496
Greenville,41.36776095,-80.3760593,74539,67992,52141,454.8775498
Grove City,41.15622858,-80.11182323,230656,178031,170711,3298.371524
Guys Mills,41.6528081,-79.9768129,55953,47884,41053,302.5881499
Hadley,41.4401037,-80.1915296,58717,46576,48552,225.5605411
Halifax,40.4730853,-76.9015135,104492,94239,76602,223.4559239
